id,name,screen_name,followers_count,friends_count
3270678680,Pedro Domingos,pmddomingos,15734,127
32729442,Iain Couzin,icouzin,6404,3378
32807399,Kristina Lerman,KristinaLerman,959,190
33786195,Ben Waber,bwaber,2295,420
33838201,Google Research,googleresearch,1197354,19
33964198,Northwestern Engineering,NorthwesternEng,5203,444
340435374,Joshua Weitz,joshuasweitz,1546,1446
3449673255,Martin A. Nowak,DrMANowak,1872,210
3452911,Kevin Weil,kevinweil,72008,2267
3475,DAVE MORIN,davemorin,466722,1157
350424151,Altmetric,altmetric,20933,2245
352673744,Richard H Thaler,R_Thaler,108280,471
353308055,Rachel Ehrenberg,Rachelwrit,837,702
35467792,Vittoria Colizza,vcolizza,481,256
355774354,Lynn Wu,lynnwuwharton,68,41
35773039,The Atlantic,TheAtlantic,1626327,1036
359772781,Travis Korte,traviskorte,1353,486
360746350,Emily Erikson,emily_erikson,1673,1295
36653441,Johan Ugander,jugander,2299,643
367089411,Santiago Ortiz,moebio,9335,542
367297219,Melanie Mitchell,MelMitchell1,4612,210
367873443,Sam Wang,SamWangPhD,32790,736
36823,Anil Dash,anildash,622103,4910
368379922,UVM Complex Systems,uvmcomplexity,1950,59
370696063,Ryan D. Enos,RyanDEnos,6247,321
37213193,David Lazer,davidlazer,6208,1351
372689892,Marton Karsai,MartonKarsai,273,149
372760774,Marcia McNutt,Marcia4Science,4443,70
3729520335,NetSI,NUnetsi,1898,164
373682248,Hiroki Sayama,HirokiSayama,1670,210
380816062,eLife - the journal,eLife,27852,493
381289719,NassimNicholasTaleb,nntaleb,225319,661
381592902,Rogue Works Progress Administration,GabrielRossman,4426,537
381746423,Bansal Lab,bansallab,1318,401
382134761,Michele Tizzoni,mtizzoni,1160,691
382393,Ciro Cattuto,ciro,3413,1384
384238210,Philip E. Tetlock,PTetlock,11723,200
39108132,Bill Dutton,BiIIDutton,4147,1548
39281968,IQSS @ Harvard,IQSS,4518,360
398500188,prabhakar raghavan,WittedNote,1879,160
40007653,Steve Downs,stephenjdowns,6333,1028
402875257,PeerJ - the journal,thePeerJ,16682,3488
4044061,Brayden King,braydenk,1896,875
405124125,Sendhil Mullainathan,m_sendhil,19069,237
4111281,tina fetner,fetner,1898,96
412548718,Kit Yates,Kit_Yates_Maths,1007,182
415906140,NetScience,net_science,4161,637
41841330,Orgnet, LLC,orgnet,3070,215
42171991,Tobias Preis,t_preis,3529,1468
422,Jason Shellen,shellen,27651,944
426509606,Yamir Moreno,cosnet_bifi,2811,371
43105334,Ricardo Hausmann,ricardo_hausman,107739,1544
4339911,Ian Mulvany,IanMulvany,2963,1201
43593,Mike Bostock,mbostock,50942,304
43652382,Munmun De Choudhury,munmun10,2756,512
437479436,Tarleton Gillespie,TarletonG,2779,453
44196397,Elon Musk,elonmusk,15932181,46
442480428,Omar Lizardo,omar_lizardo,1715,215
444047971,Nolan McCarty,Nolan_Mc,3517,589
449588356,Garry Kasparov,Kasparov63,392485,421
450842550,WikiResearch,WikiResearch,6050,919
4509741,Matthew Salganik,msalganik,2477,238
453124512,Adam Kucharski,AdamJKucharski,1626,472
466096296,Eric Klinenberg,EricKlinenberg,6925,521
4690350990,DynamicalSystemsSIAM,DynamicsSIAM,1196,627
46959037,Roger Highfield,RogerHighfield,16821,2538
4711,Michael Sippey,sippey,25191,596
473315786,Dataverse Project,dataverseorg,3869,2418
475638518,clio andris,urbanclio,743,957
48008938,Yann LeCun,ylecun,69598,176
485109912,Nautilus,NautilusMag,59201,613
487833518,nature,nature,1140445,112
48934428,Annenberg Networks,USCANN,201,85
490363356,Santo Fortunato,santo_fortunato,1956,10
492568945,Jonathan Dushoff,jd_mathbio,669,180
493266463,Benedict Carey,bencareynyt,3018,565
49413866,Randy Olson,randal_olson,114458,125885
49793,Jimmy Wales,jimmy_wales,133211,929
49976458,Oxford Internet Institute,oiioxford,16844,796
500364862,Sergey Dorogovtsev,dorogovtsev,1001,9
5017,joshua schachter,joshu,43740,837
50318716,Sandy Anderson,ara_anderson,1662,664
50393960,Bill Gates,BillGates,41725746,184
5120691,World Economic Forum,wef,3215499,345
52188980,NECSI,NECSI,21375,15870
521906763,Erika Christakis,ErikaChristakis,5462,334
52332354,J. Nathan Matias,natematias,7490,4117
52488565,Oliver Sacks Fdn.,OliverSacks,118512,331
525785424,Daniel Gilbert,DanTGilbert,39050,108
5274241,Scott Golder,redlog,1779,514
529140270,Amy Cuddy,amyjccuddy,72089,998
529438517,Aaron Clauset,aaronclauset,4071,99
529730279,Matjaz Perc,matjazperc,217,95
531697681,Brian Nosek,BrianNosek,11266,889
532074653,Dirk Helbing,DirkHelbing,1820,2
5388852,(((Howard Rheingold))),hrheingold,40913,1396
5415182,Paul Dourish,dourish,3911,1410
54638897,Urs Gasser,ugasser,3760,1330
54680395,Info=Beautiful,infobeautiful,94470,350
54751981,Jonathan Ladd,jonmladd,4524,620
547871798,Ingmar Weber,ingmarweber,1626,1361
5491,Cameron Marlow,cameronmarlow,4514,384
553729228,Alex Pentland,alex_pentland,5432,99
56341402,Laszlo Barabasi,barabasi,10573,221
564089684,Luis M. Rocha,LuisMateusRocha,831,530
56805505,Ingo Scholtes,ingo_S,831,595
5694822,Princeton University,Princeton,286222,1751
5699,Stewart Butterfield,stewart,70779,2631
570503,Fred Stutzman,fstutzman,2206,459
571202103,Medium,Medium,2332278,98
57140128,Vicki Nash,VickiNashOII,1803,937
57187580,chris wiggins,chrishwiggins,5852,1061
572479189,Manlio De Domenico,manlius84,1264,808
57571700,Taha Yasseri,TahaYasseri,3617,83
579299426,Steven Strogatz,stevenstrogatz,36094,921
582161546,alex vespignani,alexvespi,7393,655
587999163,Arthur Lupia,ArthurLupia,3582,678
59268383,Sherry Turkle,STurkle,24590,462
5943622,Marc Andreessen,pmarca,672134,16134
59518694,Michelle N. Meyer,MichelleNMeyer,2302,662
59541594,Christopher Chabris,cfchabris,7189,1246
59728556,Branden Fitelson,fitelson,2137,561
5988062,The Economist,TheEconomist,22471809,160
60308942,Clayton Christensen,claychristensen,161093,166
605012771,David G. Rand,DG_Rand,4717,1883
611941887,hedonometer,hedonometer,1836,24
6141832,Clay Shirky,cshirky,363136,746
621573,BBC Science News,BBCScienceNews,1378727,60
62513246,J.K. Rowling,jk_rowling,13551020,529
62531754,Mike Develin,mdevelin,229,132
62549025,Tom Vanderbilt,tomvanderbilt,8839,1549
628431113,CAOSS NYC,caossnyc,77,78
632724692,Renaud Lambiotte,RenaudLambiotte,1655,50
633,danah boyd,zephoria,145032,1255
633238141,Michael Mauboussin,mjmauboussin,25721,190
6334772,eytan bakshy,eytan,922,105
63511763,Christakis & Fowler,connected_book,3020,34
63859619,Helen Margetts,HelenMargetts,4283,1286
64219646,Jen Schradie,schradie,3249,900
